episode,cumulative_reward,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,max_vehicle_queue,max_ped_queue,max_veh_wait,max_ped_wait,max_veh_thru_step,max_ped_thru_step,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok
0,-798.6499999999994,43.03,7.367,2019.122,389.5105,84,14,5225.0,1192.5,8,1,357,23,21,1
1,-818.099999999998,43.835,7.595,2077.738,402.614,86,15,5330.5,1188.0,5,1,362,23,21,1
2,-834.1600000000014,43.851,7.913,2046.958,461.9895,88,14,5388.0,1281.0,5,1,355,23,21,1
3,-838.4799999999989,44.258,7.918,2084.832,482.479,84,16,5181.5,1328.0,7,1,354,23,21,1
4,-851.2599999999992,44.271,8.171,2094.8395,487.4535,86,15,5348.0,1228.0,6,3,352,23,21,1
5,-866.2899999999987,44.349,8.456,2104.307,543.9575,84,17,5359.0,1466.5,4,1,356,21,21,1
6,-808.3599999999983,43.871,7.393,2089.04,421.9195,83,14,5382.5,1188.5,6,2,363,25,21,1
7,-837.2800000000004,44.808,7.784,2161.5265,441.4335,87,14,5570.0,1207.5,8,1,364,22,21,1
8,-853.3299999999997,44.378,8.191,2125.492,513.463,87,16,5464.0,1324.0,5,1,364,23,21,1
9,-839.389999999999,44.204,7.947,2083.332,483.4515,86,15,5636.0,1314.0,6,2,360,22,21,1
