episode,cumulative_reward,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,max_vehicle_queue,max_ped_queue,max_veh_wait,max_ped_wait,max_veh_thru_step,max_ped_thru_step,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok
0,-545.1799999999998,44.054,6.976,2073.7115,373.5725,85,14,5410.0,1198.0,5,1,354,24,21,1
1,-557.2100000000006,43.667,8.036,2054.667,492.071,88,17,5291.0,1257.5,5,1,356,24,21,1
2,-566.8650000000016,44.523,8.109,2128.4135,477.032,85,14,5531.5,1317.0,5,1,354,23,21,1
3,-548.4350000000002,43.352,7.661,2052.6525,449.894,85,14,5219.5,1205.0,6,2,361,23,21,1
4,-555.3850000000011,43.798,7.827,2066.4935,460.762,86,14,5361.5,1189.0,5,1,358,24,21,1
5,-567.5299999999997,44.312,8.294,2082.9645,512.72,86,15,5324.0,1480.5,6,1,363,21,21,1
6,-555.035000000001,44.072,7.621,2074.521,420.2835,84,14,5408.5,1227.0,6,1,363,23,21,1
7,-572.2800000000012,44.532,8.464,2112.447,505.0355,85,15,5615.5,1499.5,5,1,357,21,21,1
8,-555.2599999999999,43.985,7.694,2085.8285,431.892,84,15,5391.5,1237.0,5,2,351,23,21,1
9,-541.0050000000005,43.272,7.219,2021.8445,385.2655,85,14,5199.0,1226.0,7,1,372,24,21,1
