global_step,batch_idx,env_label,episode,step_in_episode,reward,cumulative_reward_episode,queue_length,queue_ma50,loss
0,0,0,0,0,-0.0,0.0,0,0.0,0.0
1,0,1,1,0,-0.0,0.0,0,0.0,0.0
2,0,2,2,0,-0.0,0.0,0,0.0,0.0
3,0,3,3,0,-0.0,0.0,0,0.0,0.0
4,0,4,4,0,-0.0,0.0,0,0.0,0.0
5,0,5,5,0,-0.0,0.0,0,0.0,0.0
6,0,6,6,0,-0.0,0.0,0,0.0,0.0
7,0,7,7,0,-0.0,0.0,0,0.0,0.0
8,0,8,8,0,-0.0,0.0,0,0.0,0.0
9,0,9,9,0,-0.0,0.0,0,0.0,0.0
10,0,10,10,0,-0.0,0.0,0,0.0,0.0
11,0,11,11,0,-0.0,0.0,0,0.0,0.0
12,0,12,12,0,-0.0,0.0,0,0.0,0.0
13,0,13,13,0,-0.0,0.0,0,0.0,0.0
14,0,14,14,0,-0.0,0.0,0,0.0,0.0
15,0,15,15,0,-0.0,0.0,0,0.0,0.0
16,0,16,16,0,-0.0,0.0,0,0.0,0.0
17,0,17,17,0,-0.0,0.0,0,0.0,0.0
18,0,18,18,0,-0.0,0.0,0,0.0,0.0
19,0,19,19,0,-0.0,0.0,0,0.0,0.0
20,0,20,20,0,-0.0,0.0,0,0.0,0.0
21,0,21,21,0,-0.0,0.0,0,0.0,0.0
22,0,22,22,0,-0.0,0.0,0,0.0,0.0
23,0,23,23,0,-0.0,0.0,0,0.0,0.0
24,0,0,0,1,0.0,0.0,0,0.0,0.0
25,0,1,1,1,0.0,0.0,0,0.0,0.0
26,0,2,2,1,0.0,0.0,0,0.0,0.0
27,0,3,3,1,0.0,0.0,0,0.0,0.0
28,0,4,4,1,0.0,0.0,0,0.0,0.0
29,0,5,5,1,0.0,0.0,0,0.0,0.0
30,0,6,6,1,0.0,0.0,0,0.0,0.0
31,0,7,7,1,0.0,0.0,0,0.0,0.0
32,0,8,8,1,0.0,0.0,0,0.0,0.0
33,0,9,9,1,0.0,0.0,0,0.0,0.0
34,0,10,10,1,0.0,0.0,0,0.0,0.0
35,0,11,11,1,0.0,0.0,0,0.0,0.0
36,0,12,12,1,0.0,0.0,0,0.0,0.0
37,0,13,13,1,0.0,0.0,0,0.0,0.0
38,0,14,14,1,0.0,0.0,0,0.0,0.0
39,0,15,15,1,0.0,0.0,0,0.0,0.0
40,0,16,16,1,0.0,0.0,0,0.0,0.0
41,0,17,17,1,0.0,0.0,0,0.0,0.0
42,0,18,18,1,0.0,0.0,0,0.0,0.0
43,0,19,19,1,0.0,0.0,0,0.0,0.0
44,0,20,20,1,0.0,0.0,0,0.0,0.0
45,0,21,21,1,0.0,0.0,0,0.0,0.0
46,0,22,22,1,0.0,0.0,0,0.0,0.0
47,0,23,23,1,0.0,0.0,0,0.0,0.0
48,0,0,0,2,0.0,0.0,0,0.0,0.0
49,0,1,1,2,0.0,0.0,0,0.0,0.0
50,0,2,2,2,0.0,0.0,0,0.0,0.0
51,0,3,3,2,0.0,0.0,0,0.0,0.0
52,0,4,4,2,0.0,0.0,0,0.0,0.0
53,0,5,5,2,0.0,0.0,0,0.0,0.0
54,0,6,6,2,0.0,0.0,0,0.0,0.0
55,0,7,7,2,0.0,0.0,0,0.0,0.0
56,0,8,8,2,0.0,0.0,0,0.0,0.0
57,0,9,9,2,0.0,0.0,0,0.0,0.0
58,0,10,10,2,0.0,0.0,0,0.0,0.0
59,0,11,11,2,0.0,0.0,0,0.0,0.0
60,0,12,12,2,0.0,0.0,0,0.0,0.0
61,0,13,13,2,0.0,0.0,0,0.0,0.0
62,0,14,14,2,0.0,0.0,0,0.0,0.0
63,0,15,15,2,0.0,0.0,0,0.0,0.0
64,0,16,16,2,0.0,0.0,0,0.0,0.0
65,0,17,17,2,0.0,0.0,0,0.0,0.0
66,0,18,18,2,0.0,0.0,0,0.0,0.0
67,0,19,19,2,0.0,0.0,0,0.0,0.0
68,0,20,20,2,0.0,0.0,0,0.0,0.0
69,0,21,21,2,0.0,0.0,0,0.0,0.0
70,0,22,22,2,0.0,0.0,0,0.0,0.0
71,0,23,23,2,0.0,0.0,0,0.0,0.0
72,0,0,0,3,0.0,0.0,0,0.0,0.0
73,0,1,1,3,0.0,0.0,0,0.0,0.0
74,0,2,2,3,0.0,0.0,0,0.0,0.0
75,0,3,3,3,0.0,0.0,0,0.0,0.0
76,0,4,4,3,0.0,0.0,0,0.0,0.0
77,0,5,5,3,0.0,0.0,0,0.0,0.0
78,0,6,6,3,0.0,0.0,0,0.0,0.0
79,0,7,7,3,0.0,0.0,0,0.0,0.0
80,0,8,8,3,0.0,0.0,0,0.0,0.0
81,0,9,9,3,0.0,0.0,0,0.0,0.0
82,0,10,10,3,0.0,0.0,0,0.0,0.0
83,0,11,11,3,0.0,0.0,0,0.0,0.0
84,0,12,12,3,0.0,0.0,0,0.0,0.0
85,0,13,13,3,0.0,0.0,0,0.0,0.0
86,0,14,14,3,0.0,0.0,0,0.0,0.0
87,0,15,15,3,0.0,0.0,0,0.0,0.0
88,0,16,16,3,0.0,0.0,0,0.0,0.0
89,0,17,17,3,0.0,0.0,0,0.0,0.0
90,0,18,18,3,0.0,0.0,0,0.0,0.0
91,0,19,19,3,0.0,0.0,0,0.0,0.0
92,0,20,20,3,0.0,0.0,0,0.0,0.0
93,0,21,21,3,0.0,0.0,0,0.0,0.0
94,0,22,22,3,0.0,0.0,0,0.0,0.0
95,0,23,23,3,0.0,0.0,0,0.0,0.0
96,0,0,0,4,0.0,0.0,0,0.0,0.0
97,0,1,1,4,0.0,0.0,0,0.0,0.0
98,0,2,2,4,0.0,0.0,0,0.0,0.0
99,0,3,3,4,0.0,0.0,0,0.0,0.0
100,0,4,4,4,0.0,0.0,0,0.0,0.0
101,0,5,5,4,0.0,0.0,0,0.0,0.0
102,0,6,6,4,0.0,0.0,0,0.0,0.0
103,0,7,7,4,0.0,0.0,0,0.0,0.0
104,0,8,8,4,0.0,0.0,0,0.0,0.0
105,0,9,9,4,0.0,0.0,0,0.0,0.0
106,0,10,10,4,0.0,0.0,0,0.0,0.0
