vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,1,0.0,1.5,0,0
0,1,0.0,2.0,0,0
0,1,0.0,2.5,0,0
0,1,0.0,3.0,0,0
0,2,0.0,5.0,0,0
0,3,0.0,7.5,0,0
1,4,1.5,10.5,0,0
1,4,2.0,12.5,0,0
1,4,2.5,14.5,0,0
1,4,3.0,16.5,0,0
1,4,3.5,18.5,0,0
1,5,4.0,22.0,0,0
3,5,7.5,24.5,0,0
3,5,9.0,27.0,0,0
5,5,13.5,29.5,0,0
5,5,16.0,32.0,0,0
5,6,18.5,36.0,0,0
5,6,21.0,39.0,0,0
6,6,25.0,42.0,0,0
6,6,28.0,45.0,0,0
6,6,31.0,48.0,0,0
7,6,35.5,51.0,0,0
7,6,39.0,54.0,0,0
7,6,42.5,57.0,0,0
7,6,46.0,60.0,0,0
7,6,49.5,63.0,0,0
7,6,53.0,66.0,0,0
8,6,58.0,69.0,0,0
9,8,63.5,75.0,0,0
9,7,68.0,77.0,0,0
9,7,72.5,80.5,0,0
9,7,77.0,84.0,0,0
9,8,81.5,89.0,0,0
9,8,86.0,93.0,0,0
9,8,90.5,97.0,0,0
9,8,95.0,101.0,0,0
9,8,99.5,105.0,0,0
9,8,104.0,109.0,0,0
9,8,108.5,113.0,0,0
9,8,113.0,117.0,0,0
9,8,117.5,121.0,0,0
10,8,123.5,125.0,0,0
11,8,130.0,129.0,0,0
11,8,135.5,133.0,0,0
12,8,142.5,137.0,0,0
13,8,150.0,141.0,0,0
13,8,156.5,145.0,0,0
13,8,163.0,149.0,0,0
13,8,169.5,153.0,0,0
13,8,176.0,157.0,0,0
14,8,184.0,161.0,0,0
14,8,191.0,165.0,0,0
15,8,199.5,169.0,0,0
15,8,207.0,173.0,0,0
16,8,216.0,177.0,0,0
16,8,224.0,181.0,0,0
16,8,232.0,185.0,0,0
17,8,241.5,189.0,0,0
18,8,251.5,193.0,0,0
18,8,260.5,197.0,0,0
18,8,269.5,201.0,0,0
18,8,278.5,205.0,0,0
18,8,287.5,209.0,0,0
18,8,296.5,213.0,0,0
19,8,307.0,217.0,0,0
19,8,316.5,221.0,0,0
20,8,327.5,225.0,0,0
20,8,337.5,229.0,0,0
20,8,347.5,233.0,0,0
20,8,357.5,237.0,0,0
21,8,369.0,241.0,0,0
21,8,379.5,245.0,0,0
21,8,390.0,249.0,0,0
21,8,400.5,253.0,0,0
21,8,411.0,257.0,0,0
21,8,421.5,261.0,0,0
21,8,432.0,265.0,0,0
20,8,374.0,269.0,0,0
18,8,368.0,273.0,0,0
19,8,378.5,277.0,0,0
19,8,388.0,281.0,0,0
19,8,397.5,285.0,0,0
19,8,407.0,289.0,0,0
21,8,419.5,293.0,0,0
23,8,433.0,297.0,0,0
23,8,444.5,301.0,0,0
23,8,456.0,305.0,0,0
24,8,469.0,309.0,1,0
25,8,482.5,313.0,1,0
25,8,495.0,317.0,0,0
25,8,507.5,321.0,0,0
25,8,520.0,325.0,0,0
25,8,532.5,329.0,0,0
25,8,545.0,333.0,0,0
25,8,557.5,337.0,0,0
28,8,574.5,341.0,1,0
28,8,588.5,345.0,2,0
28,8,602.5,349.0,0,0
28,8,616.5,353.0,0,0
29,8,632.0,357.0,0,0
30,8,648.0,361.0,0,0
30,8,663.0,365.0,0,0
30,8,678.0,369.0,0,0
30,8,693.0,373.0,0,0
31,8,709.5,377.0,0,0
32,8,726.5,381.0,0,0
33,8,744.0,385.0,0,0
33,8,760.5,389.0,0,0
33,8,777.0,393.0,0,0
35,8,796.5,397.0,0,0
35,8,814.0,401.0,0,0
36,8,833.0,405.0,0,0
36,8,851.0,409.0,0,0
37,8,870.5,413.0,0,0
37,8,889.0,417.0,0,0
38,8,909.0,421.0,0,0
40,8,931.0,425.0,0,0
40,8,951.0,429.0,0,0
40,8,971.0,433.0,1,0
40,8,991.0,437.0,0,0
40,8,1011.0,441.0,0,0
42,8,1034.0,445.0,1,0
43,8,1056.5,449.0,0,0
42,8,1070.5,453.0,0,0
42,8,1091.5,457.0,0,0
43,8,1114.0,461.0,0,0
43,8,1135.5,465.0,0,0
44,8,1158.5,469.0,0,0
44,8,1180.5,473.0,0,0
44,8,1202.5,477.0,0,0
45,8,1226.0,481.0,0,0
46,8,1250.0,485.0,0,0
46,8,1273.0,489.0,0,0
46,8,1296.0,493.0,0,0
48,8,1322.0,497.0,0,0
48,8,1346.0,501.0,0,0
49,8,1358.0,505.0,1,0
49,8,1382.5,509.0,0,0
49,8,1407.0,513.0,0,0
49,8,1431.5,517.0,0,0
50,8,1457.5,521.0,0,0
50,8,1482.5,525.0,0,0
49,8,1479.0,529.0,0,0
52,8,1508.0,533.0,1,0
51,8,1505.5,537.0,1,0
51,8,1526.5,541.0,0,0
50,8,1549.5,545.0,0,0
51,8,1576.0,549.0,0,0
52,8,1603.0,553.0,0,0
53,8,1630.5,557.0,0,0
53,8,1657.0,561.0,0,0
48,8,1435.5,565.0,0,0
43,8,1255.0,569.0,0,0
43,8,1125.0,573.0,0,0
43,8,1111.0,577.0,0,0
43,8,1054.5,581.0,0,0
42,8,998.5,585.0,0,0
41,8,1016.0,589.0,0,0
38,7,983.0,528.5,0,0
37,6,972.0,459.0,1,0
38,5,992.0,382.5,0,0
37,3,995.0,229.0,0,0
39,2,1016.5,148.0,0,0
39,2,1028.0,149.0,0,0
39,2,1047.5,150.0,1,0
40,2,1068.5,151.0,0,0
40,2,1088.5,152.0,0,0
43,2,1113.0,153.0,0,0
45,2,1137.5,154.0,0,0
46,2,1161.5,155.0,1,0
46,2,1184.5,156.0,0,0
48,2,1210.5,157.0,0,0
48,2,1234.5,158.0,1,0
48,2,1258.5,159.0,1,0
50,2,1285.5,160.0,0,0
53,2,1315.0,161.0,0,0
53,2,1341.5,162.0,0,0
54,2,1369.5,163.0,0,0
54,2,1396.5,164.0,0,0
52,2,1417.0,165.0,0,0
50,2,1395.0,166.0,0,0
50,2,1420.0,167.0,0,0
50,2,1445.0,168.0,0,0
51,2,1471.5,169.0,0,0
51,2,1497.0,170.0,0,0
51,2,1522.5,171.0,0,0
52,2,1549.5,172.0,0,0
52,2,1575.5,173.0,1,0
52,2,1601.5,174.0,0,0
52,2,1627.5,175.0,0,0
53,2,1655.0,176.0,1,0
53,2,1681.5,177.0,0,0
