episode,mode,cumulative_reward,avg_vehicle_queue,avg_ped_queue,avg_total_queue,avg_vehicle_wait,avg_ped_wait,avg_total_wait,vehicle_throughput,ped_throughput,switch_count,episode_ok
0,train,-9141.029999999999,53.3266,9.2169,62.5435,0.0,1105.89063,1105.89063,294,32,452,1
1,train,-8050.059999999836,37.1625,3.8796,41.0421,0.0,240.65901000000002,240.65901000000002,746,45,62,1
2,train,-8156.874999999722,37.1882,4.1127,41.3009,0.0,289.12415999999996,289.12415999999996,789,43,61,1
3,train,-7967.925000000006,36.4898,4.7469,41.2367,0.0,308.51073,308.51073,783,45,64,1
4,train,-7723.144999999827,34.283,4.4196,38.7026,0.0,295.97303,295.97303,822,40,64,1
5,train,-7607.599999999597,32.5797,5.555,38.1347,0.0,448.38920999999993,448.38920999999993,816,38,70,1
6,train,-7842.774999999922,35.2153,4.5406,39.7559,0.0,350.2207399999999,350.2207399999999,813,46,69,1
7,train,-7790.324999999852,35.5887,3.4939,39.0826,0.0,243.61149,243.61149,789,46,83,1
8,train,-8149.325000000094,39.0799,6.4505,45.5304,0.0,796.22042,796.22042,675,41,109,1
9,train,-7566.1549999997815,33.7048,4.1332,37.838,0.0,265.03827,265.03827,791,45,80,1
10,train,-7820.12499999982,34.3432,5.2155,39.5587,0.0,481.16395,481.16395,725,41,96,1
11,train,-7916.084999999819,36.5434,3.2737,39.8171,0.0,221.29073000000002,221.29073000000002,748,51,81,1
12,train,-8124.015000000126,39.7466,6.2656,46.0122,0.0,789.9550399999999,789.9550399999999,603,36,120,1
13,train,-7746.669999999883,34.648,4.8835,39.5315,0.0,400.38931,400.38931,820,49,72,1
14,train,-7344.20499999991,32.7608,4.6022,37.363,0.0,373.9908,373.9908,828,43,85,1
15,train,-8233.895000000193,39.4648,6.404,45.8688,0.0,784.181,784.181,657,39,122,1
16,train,-7905.039999999759,35.7072,4.1125,39.8197,0.0,259.81363,259.81363,811,41,82,1
17,train,-7534.01999999986,35.8687,4.4147,40.2834,0.0,329.05139,329.05139,735,47,127,1
18,train,-7742.129999999668,35.5305,3.4482,38.9787,0.0,186.11182000000002,186.11182000000002,750,44,101,1
