step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
0,0,,0,0,0.0,0.0,0,0,-0.0
1,0,,0,0,0.0,0.0,0,0,-0.0
2,0,,0,0,0.0,0.0,0,0,-0.0
3,0,,0,0,0.0,0.0,0,0,-0.0
4,0,,0,0,0.0,0.0,0,0,-0.0
5,0,,0,0,0.0,0.0,0,0,-0.0
6,0,,0,0,0.0,0.0,0,0,-0.0
7,0,,0,0,0.0,0.0,0,0,-0.0
8,0,,0,0,0.0,0.0,0,0,-0.0
9,0,,0,0,0.0,0.0,0,0,-0.0
10,0,,0,0,0.0,0.0,0,0,-0.0
11,0,,0,0,0.0,0.0,0,0,-0.0
12,0,,0,0,0.0,0.0,0,0,-0.0
13,0,,0,0,0.0,0.0,0,0,-0.0
14,0,,0,0,0.0,0.0,0,0,-0.0
15,0,,0,0,0.0,0.0,0,0,-0.0
16,0,,0,0,0.0,0.0,0,0,-0.0
17,0,,0,0,0.0,0.0,0,0,-0.0
18,0,,0,0,0.0,0.0,0,0,-0.0
19,0,,0,0,0.0,0.0,0,0,-0.0
20,0,,0,0,0.0,0.0,0,0,-0.0
21,0,,0,0,0.0,0.0,0,0,-0.0
22,0,,0,0,0.0,0.0,0,0,-0.0
23,0,,0,0,0.0,0.0,0,0,-0.0
24,0,,0,0,0.0,0.0,0,0,-0.0
25,0,,0,0,0.0,0.0,0,0,-0.0
26,0,,0,0,0.0,0.0,0,0,-0.0
27,0,,0,0,0.0,0.0,0,0,-0.0
28,0,,0,0,0.0,0.0,0,0,-0.0
29,0,,0,0,0.0,0.0,0,0,-0.0
30,0,,0,0,0.0,0.0,0,0,-0.0
31,0,,0,0,0.0,0.0,0,0,-0.0
32,0,,0,0,0.0,0.0,0,0,-0.0
33,0,,0,0,0.0,0.0,0,0,-0.0
34,0,,0,0,0.0,0.0,0,0,-0.0
35,0,,0,0,0.0,0.0,0,0,-0.0
36,0,,0,0,0.0,0.0,0,0,-0.0
37,0,,0,0,0.0,0.0,0,0,-0.0
38,0,,0,0,0.0,0.0,0,0,-0.0
39,0,,0,0,0.0,0.0,0,0,-0.0
40,0,,0,0,0.0,0.0,0,0,-0.0
41,0,,0,0,0.0,0.0,0,0,-0.0
42,0,,0,0,0.0,0.0,0,0,-0.0
43,0,,0,0,0.0,0.0,0,0,-0.0
44,0,,0,0,0.0,0.0,0,0,-0.0
45,0,,0,0,0.0,0.0,0,0,-0.0
46,0,,0,0,0.0,0.0,0,0,-0.0
47,0,,0,0,0.0,0.0,0,0,-0.0
48,0,,0,0,0.0,0.0,0,0,-0.0
49,1,,0,0,0.0,0.0,0,0,-0.0
50,1,,0,0,0.0,0.0,0,0,-0.0
51,1,,0,0,0.0,0.0,0,0,-0.0
52,1,,0,0,0.0,0.0,0,0,-0.0
53,1,,0,0,0.0,0.0,0,0,-0.0
54,1,,0,0,0.0,0.0,0,0,-0.0
55,1,,0,0,0.0,0.0,0,0,-0.0
56,1,,0,0,0.0,0.0,0,0,-0.0
57,1,,0,0,0.0,0.0,0,0,-0.0
58,1,,0,0,0.0,0.0,0,0,-0.0
59,1,,0,0,0.0,0.0,0,0,-0.0
60,1,,0,0,0.0,0.0,0,0,-0.0
61,1,,0,0,0.0,0.0,0,0,-0.0
62,1,,0,0,0.0,0.0,0,0,-0.0
63,1,,0,0,0.0,0.0,0,0,-0.0
64,1,,0,0,0.0,0.0,0,0,-0.0
65,1,,0,0,0.0,0.0,0,0,-0.0
66,1,,0,1,0.0,1.5,0,0,-0.015
67,1,,0,1,0.0,2.0,0,0,-0.015
68,1,,0,1,0.0,2.5,0,0,-0.015
69,1,,0,1,0.0,3.0,0,0,-0.015
70,1,,0,1,0.0,3.5,0,0,-0.015
71,1,,0,1,0.0,4.0,0,0,-0.015
72,1,,0,3,0.0,7.5,0,0,-0.045
73,1,,0,3,0.0,9.0,0,0,-0.045
74,1,,0,3,0.0,10.5,0,0,-0.045
75,1,,0,3,0.0,12.0,0,0,-0.045
76,1,,0,3,0.0,13.5,0,0,-0.045
77,1,,0,3,0.0,15.0,0,0,-0.045
78,1,,6,3,9.0,16.5,0,0,-0.105
79,1,,6,3,12.0,18.0,0,0,-0.105
80,1,,6,4,15.0,21.0,0,0,-0.12
81,1,,6,4,18.0,23.0,0,0,-0.12
82,1,,6,4,21.0,25.0,0,0,-0.12
83,1,,6,4,24.0,27.0,0,0,-0.12
84,1,,6,4,27.0,29.0,0,0,-0.12
85,1,,6,4,30.0,31.0,0,0,-0.12
86,1,,8,4,36.0,33.0,0,0,-0.14
87,1,,8,4,40.0,35.0,0,0,-0.14
88,1,,8,4,44.0,37.0,0,0,-0.14
89,1,,10,4,51.0,39.0,0,0,-0.16
90,1,,10,5,56.0,42.5,0,0,-0.175
91,1,,10,5,61.0,45.0,0,0,-0.175
92,1,,10,5,66.0,47.5,0,0,-0.175
93,1,,10,5,71.0,50.0,0,0,-0.175
94,1,,10,7,76.0,55.5,0,0,-0.20500000000000002
95,1,,10,6,81.0,57.0,0,0,-0.19
96,1,,10,6,86.0,60.0,0,0,-0.19
97,1,,10,6,91.0,63.0,0,0,-0.19
98,1,,10,7,96.0,67.5,0,0,-0.20500000000000002
99,1,,10,7,101.0,71.0,0,0,-0.20500000000000002
100,1,,10,7,106.0,74.5,0,0,-0.20500000000000002
101,1,,10,7,111.0,78.0,0,0,-0.20500000000000002
102,1,,12,7,119.0,81.5,0,0,-0.22499999999999998
103,1,,12,7,125.0,85.0,0,0,-0.22499999999999998
104,1,,12,7,131.0,88.5,0,0,-0.22499999999999998
105,1,,12,7,137.0,92.0,0,0,-0.22499999999999998
106,1,,12,7,143.0,95.5,0,0,-0.22499999999999998
107,1,,12,7,149.0,99.0,0,0,-0.22499999999999998
108,1,,12,7,155.0,102.5,0,0,-0.22499999999999998
109,1,,12,7,161.0,106.0,0,0,-0.22499999999999998
110,1,,12,7,167.0,109.5,0,0,-0.22499999999999998
111,1,,12,8,173.0,114.5,0,0,-0.24
112,1,,12,8,179.0,118.5,0,0,-0.24
113,1,,12,8,185.0,122.5,0,0,-0.24
114,1,,12,8,191.0,126.5,0,0,-0.24
115,1,,12,8,197.0,130.5,0,0,-0.24
116,1,,12,8,203.0,134.5,0,0,-0.24
117,1,,12,8,209.0,138.5,0,0,-0.24
118,1,,12,8,215.0,142.5,0,0,-0.24
119,1,,12,8,221.0,146.5,0,0,-0.24
120,1,,12,8,227.0,150.5,0,0,-0.24
121,1,,12,8,233.0,154.5,0,0,-0.24
122,1,,12,8,239.0,158.5,0,0,-0.24
123,1,,12,8,245.0,162.5,0,0,-0.24
124,1,,12,8,251.0,166.5,0,0,-0.24
125,1,,12,8,257.0,170.5,0,0,-0.24
126,1,,12,8,263.0,174.5,0,0,-0.24
127,1,,12,8,269.0,178.5,0,0,-0.24
128,1,,12,8,275.0,182.5,0,0,-0.24
129,1,,12,8,281.0,186.5,0,0,-0.24
130,1,,12,8,287.0,190.5,0,0,-0.24
131,1,,12,8,293.0,194.5,0,0,-0.24
132,1,,12,8,299.0,198.5,0,0,-0.24
