episode_start_step,seed_0,seed_1,seed_2
0,-445.9499999999991,-379.5000000000009,-413.95500000000015
1000,-555.9000000000001,-548.684999999999,-559.8800000000015
2000,-463.21499999999867,-506.6599999999999,-474.56000000000006
3000,-454.6550000000007,-590.42,-531.7400000000019
4000,-429.5299999999998,-460.6950000000007,-459.7900000000003
5000,-417.1049999999996,-410.89000000000055,-376.8750000000002
6000,-400.6899999999996,-372.125,-386.43
7000,-397.52000000000106,-321.4849999999992,-359.6200000000004
8000,-366.2549999999999,-390.67,-330.1050000000007
9000,-363.7399999999997,-321.01000000000045,-388.8500000000005
10000,-376.715,-289.2850000000004,-415.8
11000,-357.63500000000033,-345.19999999999993,-339.57000000000005
12000,-387.4799999999991,-508.0150000000008,-355.53499999999946
13000,-419.39499999999936,-350.1200000000008,-356.0400000000003
14000,-407.71500000000026,-321.68999999999943,-421.2049999999999
15000,-398.2200000000001,-316.4599999999997,-334.2350000000006
16000,-389.9199999999995,-413.6599999999996,-351.4250000000007
17000,-529.7250000000007,-285.9550000000002,-372.1099999999994
18000,-420.0649999999999,-325.8000000000003,-346.9750000000002
19000,-417.6350000000009,-338.2800000000002,-367.7650000000004
20000,-429.9649999999997,-293.2349999999999,-361.4749999999997
21000,-397.05000000000064,-306.2549999999998,-366.21499999999935
22000,-378.76499999999976,-274.845,-345.25499999999914
23000,-358.8899999999991,-316.6700000000007,-340.97000000000014
24000,-402.5399999999997,-301.48999999999995,-338.02500000000026
25000,-442.9599999999998,-285.1600000000005,-314.57999999999964
26000,-423.4299999999999,-262.8499999999996,-330.42499999999967
27000,-346.5200000000005,-286.27999999999986,-340.33999999999975
28000,-348.7199999999999,-319.6949999999997,-298.8600000000003
29000,-360.3599999999994,-255.32499999999985,-335.4849999999991
30000,-375.42,-270.7150000000007,-314.63499999999976
31000,-369.6849999999998,-340.88499999999976,-322.49000000000007
32000,-391.3700000000002,-261.55499999999984,-312.5199999999995
33000,-401.78000000000014,-304.0900000000002,-274.25499999999965
34000,-409.6150000000015,-271.6250000000001,-326.23000000000013
35000,-349.9949999999988,-260.53499999999974,-286.8800000000007
36000,-385.4150000000001,-315.9400000000001,-344.1149999999999
37000,-378.3800000000006,-277.5949999999998,-301.4299999999987
38000,-378.0149999999999,-252.38,-295.88000000000034
39000,-359.4150000000001,-273.31999999999977,-286.9549999999996
40000,-322.04500000000064,-290.50499999999994,-319.4099999999986
41000,-352.0700000000002,-275.0599999999996,-327.81000000000023
42000,-389.7049999999995,-293.8650000000006,-301.91000000000014
43000,-360.7249999999996,-268.2199999999995,-291.1350000000004
44000,-329.8299999999999,-283.8550000000004,-348.87499999999983
45000,-350.3300000000006,-284.5799999999995,-308.0250000000009
46000,-1446.04,-241.1149999999995,-296.69000000000057
47000,-307.305,-311.4749999999992,-310.40500000000026
48000,-331.8949999999996,-293.16000000000065,-328.4649999999998
49000,-352.59000000000003,-257.3649999999996,-287.4649999999999
