episode_start_step,seed_0,seed_1,seed_2
0,-411.0900000000001,-377.75999999999954,-396.63999999999936
1000,-195.255,-350.3350000000003,-263.6549999999998
2000,-257.555,-250.31499999999969,-326.5199999999996
3000,-225.75000000000003,-246.16500000000005,-226.6250000000006
4000,-214.4900000000004,-270.5699999999996,-233.86999999999955
5000,-285.55499999999967,-250.7750000000004,-281.69000000000085
6000,-337.7499999999997,-323.5100000000007,-279.2299999999989
7000,-246.52500000000003,-340.80000000000047,-243.5249999999998
8000,-240.57499999999945,-268.25499999999977,-290.8399999999998
9000,-261.1599999999998,-240.33499999999995,-249.0350000000001
10000,-251.83999999999995,-244.4849999999998,-263.1549999999998
11000,-242.9200000000003,-243.695,-261.98499999999933
12000,-281.7999999999998,-215.9700000000006,-303.17999999999967
13000,-236.7100000000005,-247.53000000000003,-239.8200000000006
14000,-254.4750000000001,-234.72000000000037,-291.9100000000001
15000,-236.37499999999943,-269.56999999999965,-245.6299999999997
16000,-265.3549999999996,-244.23500000000047,-277.50500000000073
17000,-259.24000000000063,-258.75499999999977,-260.5950000000004
18000,-289.45500000000044,-289.0600000000006,-220.3650000000005
19000,-240.4749999999996,-227.02999999999983,-293.86000000000047
20000,-251.68499999999983,-268.9449999999998,-237.0250000000001
21000,-258.68499999999995,-239.3049999999997,-302.9700000000005
22000,-341.3399999999995,-412.125,-241.1749999999999
23000,-335.52999999999935,-327.96500000000015,-377.3500000000001
24000,-242.015,-298.3649999999999,-272.14500000000027
25000,-257.61500000000007,-237.685,-342.4799999999998
26000,-246.6199999999999,-297.55499999999967,-278.6999999999999
27000,-260.74000000000046,-279.63,-222.49499999999964
28000,-266.39,-216.3049999999992,-213.30499999999927
29000,-264.95499999999925,-256.86000000000007,-317.81500000000034
30000,-229.65000000000012,-309.99999999999955,-246.94
31000,-231.44000000000003,-233.6699999999996,-341.1299999999998
32000,-307.8949999999999,-376.0499999999996,-306.1149999999994
33000,-272.77500000000026,-262.3499999999995,-233.34499999999983
34000,-247.2550000000004,-254.8399999999995,-210.7050000000004
35000,-266.6799999999998,-242.39000000000013,-262.4400000000001
36000,-215.0200000000004,-216.17999999999984,-227.8949999999998
37000,-204.37999999999957,-260.2549999999995,-232.2699999999996
38000,-269.8450000000001,-266.4299999999996,-251.61500000000015
39000,-290.9550000000003,-317.42999999999984,-269.0100000000003
