episode,cumulative_reward,avg_vehicle_queue,avg_ped_queue,avg_total_queue,avg_vehicle_wait,avg_ped_wait,avg_total_wait,vehicle_throughput,ped_throughput,switch_count
0,-7824.384999999737,34.9084,4.7116,39.62,29.8209,360.20520999999695,390.02610999999695,784,41,51
1,-8039.994999999925,35.6031,5.733,41.3361,30.6854,479.0350900000015,509.7204900000015,808,40,51
2,-8047.894999999904,36.4063,4.474,40.8803,31.3205,319.10216000000844,350.4226600000084,800,43,51
3,-7954.474999999945,36.1124,4.7748,40.8872,31.2503,356.6200600000024,387.8703600000024,788,43,51
4,-7913.160000000024,36.1754,4.2934,40.4688,31.1833,308.99693000000036,340.18023000000034,804,45,51
5,-7808.144999999693,34.8484,4.4882,39.3366,30.0789,341.0746099999957,371.15350999999566,791,43,51
6,-7864.469999999875,35.6505,4.3364,39.9869,30.5375,309.0644700000024,339.60197000000244,789,39,51
7,-7937.754999999845,35.8741,4.5388,40.4129,30.8623,327.4831500000046,358.34545000000463,792,44,51
8,-8070.854999999903,36.5334,4.7989,41.3323,31.6046,363.60134999999156,395.20594999999156,807,41,51
9,-7900.829999999889,35.2677,4.6885,39.9562,30.3486,342.0706199999963,372.41921999999636,806,44,51
