step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
0,0,,0,0,0.0,0.0,0,0,-0.0
1,0,,0,0,0.0,0.0,0,0,-0.0
2,0,,0,0,0.0,0.0,0,0,-0.0
3,0,,0,0,0.0,0.0,0,0,-0.0
4,0,,0,0,0.0,0.0,0,0,-0.0
5,0,,0,0,0.0,0.0,0,0,-0.0
6,0,,0,0,0.0,0.0,0,0,-0.0
7,0,,0,0,0.0,0.0,0,0,-0.0
8,0,,0,0,0.0,0.0,0,0,-0.0
9,0,,0,0,0.0,0.0,0,0,-0.0
10,0,,0,0,0.0,0.0,0,0,-0.0
11,0,,0,0,0.0,0.0,0,0,-0.0
12,0,,0,0,0.0,0.0,0,0,-0.0
13,0,,0,0,0.0,0.0,0,0,-0.0
14,0,,0,0,0.0,0.0,0,0,-0.0
15,0,,0,0,0.0,0.0,0,0,-0.0
16,0,,0,0,0.0,0.0,0,0,-0.0
17,0,,0,0,0.0,0.0,0,0,-0.0
18,0,,0,0,0.0,0.0,0,0,-0.0
19,0,,0,0,0.0,0.0,0,0,-0.0
20,0,,0,0,0.0,0.0,0,0,-0.0
21,0,,0,0,0.0,0.0,0,0,-0.0
22,0,,0,0,0.0,0.0,0,0,-0.0
23,0,,0,0,0.0,0.0,0,0,-0.0
24,0,,0,0,0.0,0.0,0,0,-0.0
25,0,,0,0,0.0,0.0,0,0,-0.0
26,0,,0,0,0.0,0.0,0,0,-0.0
27,0,,0,0,0.0,0.0,0,0,-0.0
28,0,,0,0,0.0,0.0,0,0,-0.0
29,0,,0,0,0.0,0.0,0,0,-0.0
30,0,,0,0,0.0,0.0,0,0,-0.0
31,0,,0,0,0.0,0.0,0,0,-0.0
32,0,,0,0,0.0,0.0,0,0,-0.0
33,0,,0,0,0.0,0.0,0,0,-0.0
34,0,,0,0,0.0,0.0,0,0,-0.0
35,0,,0,0,0.0,0.0,0,0,-0.0
36,0,,0,0,0.0,0.0,0,0,-0.0
37,0,,0,0,0.0,0.0,0,0,-0.0
38,0,,0,0,0.0,0.0,0,0,-0.0
39,0,,0,0,0.0,0.0,0,0,-0.0
40,0,,0,0,0.0,0.0,0,0,-0.0
41,0,,0,0,0.0,0.0,0,0,-0.0
42,0,,0,0,0.0,0.0,0,0,-0.0
43,0,,0,0,0.0,0.0,0,0,-0.0
44,0,,0,0,0.0,0.0,0,0,-0.0
45,0,,0,0,0.0,0.0,0,0,-0.0
46,0,,0,0,0.0,0.0,0,0,-0.0
47,0,,0,0,0.0,0.0,0,0,-0.0
48,0,,0,0,0.0,0.0,0,0,-0.0
49,1,,0,0,0.0,0.0,0,0,-0.0
50,1,,0,0,0.0,0.0,0,0,-0.0
51,1,,0,0,0.0,0.0,0,0,-0.0
52,1,,0,0,0.0,0.0,0,0,-0.0
53,1,,0,0,0.0,0.0,0,0,-0.0
54,1,,0,0,0.0,0.0,0,0,-0.0
55,1,,0,0,0.0,0.0,0,0,-0.0
56,1,,0,0,0.0,0.0,0,0,-0.0
57,1,,0,0,0.0,0.0,0,0,-0.0
58,1,,0,0,0.0,0.0,0,0,-0.0
59,1,,0,0,0.0,0.0,0,0,-0.0
60,1,,0,0,0.0,0.0,0,0,-0.0
61,1,,0,0,0.0,0.0,0,0,-0.0
62,1,,0,0,0.0,0.0,0,0,-0.0
63,1,,0,0,0.0,0.0,0,0,-0.0
64,1,,0,0,0.0,0.0,0,0,-0.0
65,1,,0,0,0.0,0.0,0,0,-0.0
66,1,,0,0,0.0,0.0,0,0,-0.0
67,1,,0,0,0.0,0.0,0,0,-0.0
68,1,,0,2,0.0,3.0,0,0,-0.03
69,1,,0,2,0.0,4.0,0,0,-0.03
70,1,,0,2,0.0,5.0,0,0,-0.03
71,1,,0,2,0.0,6.0,0,0,-0.03
72,1,,0,3,0.0,8.5,0,0,-0.045
73,1,,0,3,0.0,10.0,0,0,-0.045
74,1,,0,2,0.0,9.0,0,0,-0.03
75,1,,0,2,0.0,10.0,0,0,-0.03
76,1,,0,2,0.0,11.0,0,0,-0.03
77,1,,0,3,0.0,13.5,0,0,-0.045
78,1,,6,4,9.0,16.5,0,0,-0.12
79,1,,6,4,12.0,18.5,0,0,-0.12
80,1,,6,4,15.0,20.5,0,0,-0.12
81,1,,6,4,18.0,22.5,0,0,-0.12
82,1,,6,4,21.0,24.5,0,0,-0.12
83,1,,6,4,24.0,26.5,0,0,-0.12
84,1,,6,4,27.0,28.5,0,0,-0.12
85,1,,6,4,30.0,30.5,0,0,-0.12
86,1,,6,4,33.0,32.5,0,0,-0.12
87,1,,6,4,36.0,34.5,0,0,-0.12
88,1,,6,4,39.0,36.5,0,0,-0.12
89,1,,8,4,45.0,38.5,0,0,-0.14
90,1,,8,4,49.0,40.5,0,0,-0.14
91,1,,8,4,53.0,42.5,0,0,-0.14
92,1,,8,4,57.0,44.5,0,0,-0.14
93,1,,8,4,61.0,46.5,0,0,-0.14
94,1,,8,6,65.0,51.5,0,0,-0.16999999999999998
95,1,,8,6,69.0,54.5,0,0,-0.16999999999999998
96,1,,9,6,74.5,57.5,0,0,-0.18
97,1,,10,7,80.5,62.0,0,0,-0.20500000000000002
98,1,,10,7,85.5,65.5,0,0,-0.20500000000000002
99,1,,10,7,90.5,69.0,0,0,-0.20500000000000002
100,1,,10,7,95.5,72.5,0,0,-0.20500000000000002
101,1,,10,7,100.5,76.0,0,0,-0.20500000000000002
102,1,,10,7,105.5,79.5,0,0,-0.20500000000000002
103,1,,12,7,113.5,83.0,0,0,-0.22499999999999998
104,1,,12,7,119.5,86.5,0,0,-0.22499999999999998
105,1,,12,7,125.5,90.0,0,0,-0.22499999999999998
106,1,,12,7,131.5,93.5,0,0,-0.22499999999999998
107,1,,12,7,137.5,97.0,0,0,-0.22499999999999998
108,1,,12,7,143.5,100.5,0,0,-0.22499999999999998
109,1,,12,7,149.5,104.0,0,0,-0.22499999999999998
110,1,,12,8,155.5,109.0,0,0,-0.24
111,1,,12,8,161.5,113.0,0,0,-0.24
112,1,,12,8,167.5,117.0,0,0,-0.24
113,1,,12,8,173.5,121.0,0,0,-0.24
114,1,,13,8,181.0,125.0,0,0,-0.25
115,1,,13,8,187.5,129.0,0,0,-0.25
116,1,,13,8,194.0,133.0,0,0,-0.25
117,1,,13,8,200.5,137.0,0,0,-0.25
118,1,,13,8,207.0,141.0,0,0,-0.25
119,1,,13,8,213.5,145.0,0,0,-0.25
120,1,,13,8,220.0,149.0,0,0,-0.25
121,1,,13,8,226.5,153.0,0,0,-0.25
122,1,,14,8,234.5,157.0,0,0,-0.26
123,1,,14,8,241.5,161.0,0,0,-0.26
124,1,,14,8,248.5,165.0,0,0,-0.26
125,1,,14,8,255.5,169.0,0,0,-0.26
126,1,,14,8,262.5,173.0,0,0,-0.26
127,1,,14,8,269.5,177.0,0,0,-0.26
128,1,,14,8,276.5,181.0,0,0,-0.26
129,1,,14,8,283.5,185.0,0,0,-0.26
130,1,,15,8,292.0,189.0,0,0,-0.27
131,1,,15,8,299.5,193.0,0,0,-0.27
132,1,,15,8,307.0,197.0,0,0,-0.27
