step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
0,0,0,0,0,0.0,0.0,0,0,-0.0
1,0,0,0,0,0.0,0.0,0,0,-0.0
2,0,0,0,0,0.0,0.0,0,0,-0.0
3,0,0,0,0,0.0,0.0,0,0,-0.0
4,0,0,0,0,0.0,0.0,0,0,-0.0
5,0,0,0,0,0.0,0.0,0,0,-0.0
6,0,0,0,0,0.0,0.0,0,0,-0.0
7,0,0,0,0,0.0,0.0,0,0,-0.0
8,0,0,0,0,0.0,0.0,0,0,-0.0
9,0,0,0,0,0.0,0.0,0,0,-0.0
10,0,0,0,0,0.0,0.0,0,0,-0.0
11,0,0,0,0,0.0,0.0,0,0,-0.0
12,0,0,0,0,0.0,0.0,0,0,-0.0
13,0,0,0,0,0.0,0.0,0,0,-0.0
14,0,0,0,0,0.0,0.0,0,0,-0.0
15,0,0,0,0,0.0,0.0,0,0,-0.0
16,0,0,0,0,0.0,0.0,0,0,-0.0
17,0,0,0,0,0.0,0.0,0,0,-0.0
18,0,0,0,0,0.0,0.0,0,0,-0.0
19,0,0,0,0,0.0,0.0,0,0,-0.0
20,0,0,0,0,0.0,0.0,0,0,-0.0
21,0,0,0,0,0.0,0.0,0,0,-0.0
22,0,0,0,0,0.0,0.0,0,0,-0.0
23,0,0,0,0,0.0,0.0,0,0,-0.0
24,0,0,0,0,0.0,0.0,0,0,-0.0
25,0,0,0,0,0.0,0.0,0,0,-0.0
26,0,0,0,0,0.0,0.0,0,0,-0.0
27,0,0,0,0,0.0,0.0,0,0,-0.0
28,0,0,0,0,0.0,0.0,0,0,-0.0
29,0,0,0,0,0.0,0.0,0,0,-0.0
30,0,0,0,0,0.0,0.0,0,0,-0.0
31,0,0,0,0,0.0,0.0,0,0,-0.0
32,0,0,0,0,0.0,0.0,0,0,-0.0
33,0,0,0,0,0.0,0.0,0,0,-0.0
34,0,0,0,0,0.0,0.0,0,0,-0.0
35,0,0,0,0,0.0,0.0,0,0,-0.0
36,0,0,0,0,0.0,0.0,0,0,-0.0
37,0,0,0,0,0.0,0.0,0,0,-0.0
38,0,0,0,0,0.0,0.0,0,0,-0.0
39,0,0,0,0,0.0,0.0,0,0,-0.0
40,0,0,0,0,0.0,0.0,0,0,-0.0
41,0,0,0,0,0.0,0.0,0,0,-0.0
42,0,0,0,0,0.0,0.0,0,0,-0.0
43,0,0,0,0,0.0,0.0,0,0,-0.0
44,0,0,0,0,0.0,0.0,0,0,-0.0
45,0,0,0,0,0.0,0.0,0,0,-0.0
46,0,0,0,0,0.0,0.0,0,0,-0.0
47,0,0,0,0,0.0,0.0,0,0,-0.0
48,0,0,0,0,0.0,0.0,0,0,-0.0
49,1,0,0,0,0.0,0.0,0,0,-0.0
50,1,0,0,0,0.0,0.0,0,0,-0.0
51,1,0,0,0,0.0,0.0,0,0,-0.0
52,1,0,0,0,0.0,0.0,0,0,-0.0
53,1,0,0,0,0.0,0.0,0,0,-0.0
54,1,0,0,0,0.0,0.0,0,0,-0.0
55,1,0,0,0,0.0,0.0,0,0,-0.0
56,1,0,0,0,0.0,0.0,0,0,-0.0
57,1,0,0,0,0.0,0.0,0,0,-0.0
58,1,0,0,0,0.0,0.0,0,0,-0.0
59,1,0,0,0,0.0,0.0,0,0,-0.0
60,1,0,0,0,0.0,0.0,0,0,-0.0
61,1,0,0,0,0.0,0.0,0,0,-0.0
62,1,0,0,1,0.0,1.5,0,0,-0.015
63,1,0,0,1,0.0,2.0,0,0,-0.015
64,1,0,0,1,0.0,2.5,0,0,-0.015
65,1,0,0,1,0.0,3.0,0,0,-0.015
66,1,0,0,1,0.0,3.5,0,0,-0.015
67,1,0,0,2,0.0,5.5,0,0,-0.03
68,1,0,0,2,0.0,6.5,0,0,-0.03
69,1,0,0,2,0.0,7.5,0,0,-0.03
70,1,0,0,2,0.0,8.5,0,0,-0.03
71,1,0,0,2,0.0,9.5,0,0,-0.03
72,1,0,0,2,0.0,10.5,0,0,-0.03
73,1,0,0,2,0.0,11.5,0,0,-0.03
74,1,0,0,2,0.0,12.5,0,0,-0.03
75,1,0,0,2,0.0,13.5,0,0,-0.03
76,1,0,1,2,1.5,14.5,0,0,-0.04
77,1,0,1,3,2.0,17.0,0,0,-0.055
78,1,0,7,3,11.5,18.5,0,0,-0.115
79,1,0,7,3,15.0,20.0,0,0,-0.115
80,1,0,7,3,18.5,21.5,0,0,-0.115
81,1,0,7,3,22.0,23.0,0,0,-0.115
82,1,0,7,3,25.5,24.5,0,0,-0.115
83,1,0,7,3,29.0,26.0,0,0,-0.115
84,1,0,7,3,32.5,27.5,0,0,-0.115
85,1,0,7,3,36.0,29.0,0,0,-0.115
86,1,0,7,3,39.5,30.5,0,0,-0.115
87,1,0,7,3,43.0,32.0,0,0,-0.115
88,1,0,7,3,46.5,33.5,0,0,-0.115
89,1,0,7,3,50.0,35.0,0,0,-0.115
90,1,0,7,3,53.5,36.5,0,0,-0.115
