episode,mean_cumulative_reward,ci_lower,ci_upper,mean_episode_length,length_ci_lower,length_ci_upper,num_seeds
0,-413.95500000000015,-413.95500000000015,-413.95500000000015,1000.0,1000.0,1000.0,1
1,-559.8800000000015,-559.8800000000015,-559.8800000000015,1000.0,1000.0,1000.0,1
2,-474.56000000000006,-474.56000000000006,-474.56000000000006,1000.0,1000.0,1000.0,1
3,-531.7400000000019,-531.7400000000019,-531.7400000000019,1000.0,1000.0,1000.0,1
4,-459.7900000000003,-459.7900000000003,-459.7900000000003,1000.0,1000.0,1000.0,1
5,-376.8750000000002,-376.8750000000002,-376.8750000000002,1000.0,1000.0,1000.0,1
6,-386.43,-386.43,-386.43,1000.0,1000.0,1000.0,1
7,-359.6200000000004,-359.6200000000004,-359.6200000000004,1000.0,1000.0,1000.0,1
8,-330.1050000000007,-330.1050000000007,-330.1050000000007,1000.0,1000.0,1000.0,1
9,-388.8500000000005,-388.8500000000005,-388.8500000000005,1000.0,1000.0,1000.0,1
10,-415.8,-415.8,-415.8,1000.0,1000.0,1000.0,1
11,-339.57000000000005,-339.57000000000005,-339.57000000000005,1000.0,1000.0,1000.0,1
12,-355.53499999999946,-355.53499999999946,-355.53499999999946,1000.0,1000.0,1000.0,1
13,-356.0400000000003,-356.0400000000003,-356.0400000000003,1000.0,1000.0,1000.0,1
14,-421.2049999999999,-421.2049999999999,-421.2049999999999,1000.0,1000.0,1000.0,1
15,-334.2350000000006,-334.2350000000006,-334.2350000000006,1000.0,1000.0,1000.0,1
16,-351.4250000000007,-351.4250000000007,-351.4250000000007,1000.0,1000.0,1000.0,1
17,-372.1099999999994,-372.1099999999994,-372.1099999999994,1000.0,1000.0,1000.0,1
18,-346.9750000000002,-346.9750000000002,-346.9750000000002,1000.0,1000.0,1000.0,1
19,-367.7650000000004,-367.7650000000004,-367.7650000000004,1000.0,1000.0,1000.0,1
20,-361.4749999999997,-361.4749999999997,-361.4749999999997,1000.0,1000.0,1000.0,1
21,-366.21499999999935,-366.21499999999935,-366.21499999999935,1000.0,1000.0,1000.0,1
22,-345.25499999999914,-345.25499999999914,-345.25499999999914,1000.0,1000.0,1000.0,1
23,-340.97000000000014,-340.97000000000014,-340.97000000000014,1000.0,1000.0,1000.0,1
24,-338.02500000000026,-338.02500000000026,-338.02500000000026,1000.0,1000.0,1000.0,1
25,-314.57999999999964,-314.57999999999964,-314.57999999999964,1000.0,1000.0,1000.0,1
26,-330.42499999999967,-330.42499999999967,-330.42499999999967,1000.0,1000.0,1000.0,1
27,-340.33999999999975,-340.33999999999975,-340.33999999999975,1000.0,1000.0,1000.0,1
28,-298.8600000000003,-298.8600000000003,-298.8600000000003,1000.0,1000.0,1000.0,1
29,-335.4849999999991,-335.4849999999991,-335.4849999999991,1000.0,1000.0,1000.0,1
30,-314.63499999999976,-314.63499999999976,-314.63499999999976,1000.0,1000.0,1000.0,1
31,-322.49000000000007,-322.49000000000007,-322.49000000000007,1000.0,1000.0,1000.0,1
32,-312.5199999999995,-312.5199999999995,-312.5199999999995,1000.0,1000.0,1000.0,1
33,-274.25499999999965,-274.25499999999965,-274.25499999999965,1000.0,1000.0,1000.0,1
34,-326.23000000000013,-326.23000000000013,-326.23000000000013,1000.0,1000.0,1000.0,1
35,-286.8800000000007,-286.8800000000007,-286.8800000000007,1000.0,1000.0,1000.0,1
36,-344.1149999999999,-344.1149999999999,-344.1149999999999,1000.0,1000.0,1000.0,1
37,-301.4299999999987,-301.4299999999987,-301.4299999999987,1000.0,1000.0,1000.0,1
38,-295.88000000000034,-295.88000000000034,-295.88000000000034,1000.0,1000.0,1000.0,1
39,-286.95499999999953,-286.95499999999953,-286.95499999999953,1000.0,1000.0,1000.0,1
40,-319.4099999999986,-319.4099999999986,-319.4099999999986,1000.0,1000.0,1000.0,1
41,-327.81000000000023,-327.81000000000023,-327.81000000000023,1000.0,1000.0,1000.0,1
42,-301.91000000000014,-301.91000000000014,-301.91000000000014,1000.0,1000.0,1000.0,1
43,-291.1350000000004,-291.1350000000004,-291.1350000000004,1000.0,1000.0,1000.0,1
44,-348.87499999999983,-348.87499999999983,-348.87499999999983,1000.0,1000.0,1000.0,1
45,-308.0250000000009,-308.0250000000009,-308.0250000000009,1000.0,1000.0,1000.0,1
46,-296.69000000000057,-296.69000000000057,-296.69000000000057,1000.0,1000.0,1000.0,1
47,-310.40500000000026,-310.40500000000026,-310.40500000000026,1000.0,1000.0,1000.0,1
48,-328.4649999999998,-328.4649999999998,-328.4649999999998,1000.0,1000.0,1000.0,1
49,-287.4649999999999,-287.4649999999999,-287.4649999999999,1000.0,1000.0,1000.0,1
50,-359.2899999999996,-359.2899999999996,-359.2899999999996,1000.0,1000.0,1000.0,1
51,-318.2700000000001,-318.2700000000001,-318.2700000000001,1000.0,1000.0,1000.0,1
52,-358.2399999999998,-358.2399999999998,-358.2399999999998,1000.0,1000.0,1000.0,1
53,-327.01499999999965,-327.01499999999965,-327.01499999999965,1000.0,1000.0,1000.0,1
54,-306.9199999999995,-306.9199999999995,-306.9199999999995,1000.0,1000.0,1000.0,1
55,-300.22000000000014,-300.22000000000014,-300.22000000000014,1000.0,1000.0,1000.0,1
56,-277.38499999999965,-277.38499999999965,-277.38499999999965,1000.0,1000.0,1000.0,1
57,-319.09999999999985,-319.09999999999985,-319.09999999999985,1000.0,1000.0,1000.0,1
58,-303.16500000000053,-303.16500000000053,-303.16500000000053,1000.0,1000.0,1000.0,1
59,-337.1749999999997,-337.1749999999997,-337.1749999999997,1000.0,1000.0,1000.0,1
60,-333.64499999999964,-333.64499999999964,-333.64499999999964,1000.0,1000.0,1000.0,1
61,-336.59999999999957,-336.59999999999957,-336.59999999999957,1000.0,1000.0,1000.0,1
62,-300.4299999999998,-300.4299999999998,-300.4299999999998,1000.0,1000.0,1000.0,1
63,-297.1950000000004,-297.1950000000004,-297.1950000000004,1000.0,1000.0,1000.0,1
64,-265.4449999999997,-265.4449999999997,-265.4449999999997,1000.0,1000.0,1000.0,1
65,-307.4049999999999,-307.4049999999999,-307.4049999999999,1000.0,1000.0,1000.0,1
66,-293.62000000000023,-293.62000000000023,-293.62000000000023,1000.0,1000.0,1000.0,1
67,-295.4849999999999,-295.4849999999999,-295.4849999999999,1000.0,1000.0,1000.0,1
68,-363.35000000000036,-363.35000000000036,-363.35000000000036,1000.0,1000.0,1000.0,1
69,-349.42000000000024,-349.42000000000024,-349.42000000000024,1000.0,1000.0,1000.0,1
70,-284.27499999999964,-284.27499999999964,-284.27499999999964,1000.0,1000.0,1000.0,1
71,-324.42999999999995,-324.42999999999995,-324.42999999999995,1000.0,1000.0,1000.0,1
72,-301.9300000000006,-301.9300000000006,-301.9300000000006,1000.0,1000.0,1000.0,1
73,-329.8050000000009,-329.8050000000009,-329.8050000000009,1000.0,1000.0,1000.0,1
74,-320.63000000000034,-320.63000000000034,-320.63000000000034,1000.0,1000.0,1000.0,1
75,-321.06000000000074,-321.06000000000074,-321.06000000000074,1000.0,1000.0,1000.0,1
76,-310.4399999999995,-310.4399999999995,-310.4399999999995,1000.0,1000.0,1000.0,1
77,-349.18999999999943,-349.18999999999943,-349.18999999999943,1000.0,1000.0,1000.0,1
78,-349.8849999999998,-349.8849999999998,-349.8849999999998,1000.0,1000.0,1000.0,1
79,-323.3649999999996,-323.3649999999996,-323.3649999999996,1000.0,1000.0,1000.0,1
80,-288.7499999999994,-288.7499999999994,-288.7499999999994,1000.0,1000.0,1000.0,1
81,-292.69499999999977,-292.69499999999977,-292.69499999999977,1000.0,1000.0,1000.0,1
82,-311.76999999999987,-311.76999999999987,-311.76999999999987,1000.0,1000.0,1000.0,1
83,-318.62500000000045,-318.62500000000045,-318.62500000000045,1000.0,1000.0,1000.0,1
84,-322.23500000000024,-322.23500000000024,-322.23500000000024,1000.0,1000.0,1000.0,1
85,-306.4550000000003,-306.4550000000003,-306.4550000000003,1000.0,1000.0,1000.0,1
86,-288.34500000000014,-288.34500000000014,-288.34500000000014,1000.0,1000.0,1000.0,1
87,-314.20999999999947,-314.20999999999947,-314.20999999999947,1000.0,1000.0,1000.0,1
88,-385.8250000000005,-385.8250000000005,-385.8250000000005,1000.0,1000.0,1000.0,1
89,-327.9199999999996,-327.9199999999996,-327.9199999999996,1000.0,1000.0,1000.0,1
90,-295.57000000000033,-295.57000000000033,-295.57000000000033,1000.0,1000.0,1000.0,1
91,-276.82500000000033,-276.82500000000033,-276.82500000000033,1000.0,1000.0,1000.0,1
92,-300.5949999999999,-300.5949999999999,-300.5949999999999,1000.0,1000.0,1000.0,1
93,-311.7049999999998,-311.7049999999998,-311.7049999999998,1000.0,1000.0,1000.0,1
94,-312.20499999999964,-312.20499999999964,-312.20499999999964,1000.0,1000.0,1000.0,1
95,-319.9900000000006,-319.9900000000006,-319.9900000000006,1000.0,1000.0,1000.0,1
96,-292.96000000000004,-292.96000000000004,-292.96000000000004,1000.0,1000.0,1000.0,1
97,-312.6599999999991,-312.6599999999991,-312.6599999999991,1000.0,1000.0,1000.0,1
98,-310.10000000000014,-310.10000000000014,-310.10000000000014,1000.0,1000.0,1000.0,1
99,-344.1649999999992,-344.1649999999992,-344.1649999999992,1000.0,1000.0,1000.0,1
100,-343.0649999999997,-343.0649999999997,-343.0649999999997,1000.0,1000.0,1000.0,1
101,-368.0049999999988,-368.0049999999988,-368.0049999999988,1000.0,1000.0,1000.0,1
102,-373.3600000000002,-373.3600000000002,-373.3600000000002,1000.0,1000.0,1000.0,1
103,-293.3850000000006,-293.3850000000006,-293.3850000000006,1000.0,1000.0,1000.0,1
104,-299.34500000000014,-299.34500000000014,-299.34500000000014,1000.0,1000.0,1000.0,1
105,-364.5999999999996,-364.5999999999996,-364.5999999999996,1000.0,1000.0,1000.0,1
106,-315.85500000000025,-315.85500000000025,-315.85500000000025,1000.0,1000.0,1000.0,1
107,-341.535,-341.535,-341.535,1000.0,1000.0,1000.0,1
108,-304.16500000000025,-304.16500000000025,-304.16500000000025,1000.0,1000.0,1000.0,1
109,-296.9049999999996,-296.9049999999996,-296.9049999999996,1000.0,1000.0,1000.0,1
110,-302.16999999999996,-302.16999999999996,-302.16999999999996,1000.0,1000.0,1000.0,1
111,-302.85500000000064,-302.85500000000064,-302.85500000000064,1000.0,1000.0,1000.0,1
112,-312.83000000000004,-312.83000000000004,-312.83000000000004,1000.0,1000.0,1000.0,1
113,-308.4700000000004,-308.4700000000004,-308.4700000000004,1000.0,1000.0,1000.0,1
114,-320.93000000000006,-320.93000000000006,-320.93000000000006,1000.0,1000.0,1000.0,1
115,-302.9800000000002,-302.9800000000002,-302.9800000000002,1000.0,1000.0,1000.0,1
116,-328.4099999999995,-328.4099999999995,-328.4099999999995,1000.0,1000.0,1000.0,1
117,-343.54999999999956,-343.54999999999956,-343.54999999999956,1000.0,1000.0,1000.0,1
118,-367.3099999999997,-367.3099999999997,-367.3099999999997,1000.0,1000.0,1000.0,1
119,-291.31499999999994,-291.31499999999994,-291.31499999999994,1000.0,1000.0,1000.0,1
120,-358.59499999999963,-358.59499999999963,-358.59499999999963,1000.0,1000.0,1000.0,1
121,-351.1900000000004,-351.1900000000004,-351.1900000000004,1000.0,1000.0,1000.0,1
122,-282.0199999999998,-282.0199999999998,-282.0199999999998,1000.0,1000.0,1000.0,1
123,-369.85999999999984,-369.85999999999984,-369.85999999999984,1000.0,1000.0,1000.0,1
124,-324.37,-324.37,-324.37,1000.0,1000.0,1000.0,1
125,-305.325,-305.325,-305.325,1000.0,1000.0,1000.0,1
126,-352.34999999999985,-352.34999999999985,-352.34999999999985,1000.0,1000.0,1000.0,1
127,-306.98499999999956,-306.98499999999956,-306.98499999999956,1000.0,1000.0,1000.0,1
128,-330.0399999999993,-330.0399999999993,-330.0399999999993,1000.0,1000.0,1000.0,1
129,-329.54000000000025,-329.54000000000025,-329.54000000000025,1000.0,1000.0,1000.0,1
130,-270.5749999999997,-270.5749999999997,-270.5749999999997,1000.0,1000.0,1000.0,1
131,-317.294999999999,-317.294999999999,-317.294999999999,1000.0,1000.0,1000.0,1
132,-263.9799999999996,-263.9799999999996,-263.9799999999996,1000.0,1000.0,1000.0,1
133,-306.35999999999956,-306.35999999999956,-306.35999999999956,1000.0,1000.0,1000.0,1
134,-403.5499999999997,-403.5499999999997,-403.5499999999997,1000.0,1000.0,1000.0,1
135,-331.33499999999964,-331.33499999999964,-331.33499999999964,1000.0,1000.0,1000.0,1
136,-283.57999999999925,-283.57999999999925,-283.57999999999925,1000.0,1000.0,1000.0,1
137,-329.8200000000005,-329.8200000000005,-329.8200000000005,1000.0,1000.0,1000.0,1
138,-314.98500000000035,-314.98500000000035,-314.98500000000035,1000.0,1000.0,1000.0,1
139,-317.04999999999995,-317.04999999999995,-317.04999999999995,1000.0,1000.0,1000.0,1
140,-284.75999999999993,-284.75999999999993,-284.75999999999993,1000.0,1000.0,1000.0,1
141,-321.9249999999997,-321.9249999999997,-321.9249999999997,1000.0,1000.0,1000.0,1
142,-274.255,-274.255,-274.255,1000.0,1000.0,1000.0,1
143,-341.1900000000007,-341.1900000000007,-341.1900000000007,1000.0,1000.0,1000.0,1
144,-328.1250000000002,-328.1250000000002,-328.1250000000002,1000.0,1000.0,1000.0,1
145,-387.7750000000004,-387.7750000000004,-387.7750000000004,1000.0,1000.0,1000.0,1
146,-307.4099999999998,-307.4099999999998,-307.4099999999998,1000.0,1000.0,1000.0,1
147,-415.7099999999992,-415.7099999999992,-415.7099999999992,1000.0,1000.0,1000.0,1
148,-275.3199999999998,-275.3199999999998,-275.3199999999998,1000.0,1000.0,1000.0,1
149,-314.9000000000011,-314.9000000000011,-314.9000000000011,1000.0,1000.0,1000.0,1
150,-343.42999999999955,-343.42999999999955,-343.42999999999955,1000.0,1000.0,1000.0,1
151,-305.5650000000003,-305.5650000000003,-305.5650000000003,1000.0,1000.0,1000.0,1
152,-305.27000000000066,-305.27000000000066,-305.27000000000066,1000.0,1000.0,1000.0,1
153,-296.5300000000007,-296.5300000000007,-296.5300000000007,1000.0,1000.0,1000.0,1
154,-340.30999999999955,-340.30999999999955,-340.30999999999955,1000.0,1000.0,1000.0,1
155,-292.9950000000001,-292.9950000000001,-292.9950000000001,1000.0,1000.0,1000.0,1
156,-310.4649999999997,-310.4649999999997,-310.4649999999997,1000.0,1000.0,1000.0,1
157,-329.0049999999999,-329.0049999999999,-329.0049999999999,1000.0,1000.0,1000.0,1
158,-289.015,-289.015,-289.015,1000.0,1000.0,1000.0,1
159,-325.7099999999997,-325.7099999999997,-325.7099999999997,1000.0,1000.0,1000.0,1
160,-328.2550000000002,-328.2550000000002,-328.2550000000002,1000.0,1000.0,1000.0,1
161,-324.79500000000064,-324.79500000000064,-324.79500000000064,1000.0,1000.0,1000.0,1
162,-301.6900000000007,-301.6900000000007,-301.6900000000007,1000.0,1000.0,1000.0,1
163,-354.54999999999916,-354.54999999999916,-354.54999999999916,1000.0,1000.0,1000.0,1
164,-354.6850000000005,-354.6850000000005,-354.6850000000005,1000.0,1000.0,1000.0,1
165,-334.9000000000006,-334.9000000000006,-334.9000000000006,1000.0,1000.0,1000.0,1
166,-341.4600000000001,-341.4600000000001,-341.4600000000001,1000.0,1000.0,1000.0,1
167,-356.74500000000006,-356.74500000000006,-356.74500000000006,1000.0,1000.0,1000.0,1
168,-289.81500000000045,-289.81500000000045,-289.81500000000045,1000.0,1000.0,1000.0,1
169,-275.69499999999965,-275.69499999999965,-275.69499999999965,1000.0,1000.0,1000.0,1
170,-326.51999999999975,-326.51999999999975,-326.51999999999975,1000.0,1000.0,1000.0,1
171,-326.1900000000003,-326.1900000000003,-326.1900000000003,1000.0,1000.0,1000.0,1
172,-337.02500000000066,-337.02500000000066,-337.02500000000066,1000.0,1000.0,1000.0,1
173,-367.8949999999995,-367.8949999999995,-367.8949999999995,1000.0,1000.0,1000.0,1
174,-282.62000000000023,-282.62000000000023,-282.62000000000023,1000.0,1000.0,1000.0,1
175,-304.3350000000001,-304.3350000000001,-304.3350000000001,1000.0,1000.0,1000.0,1
176,-313.2800000000001,-313.2800000000001,-313.2800000000001,1000.0,1000.0,1000.0,1
