episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
0,train,-413.95500000000015,1000,33.39,5.337,999.02,260.4165,381,26,36,1,0
1,train,-559.8800000000015,1000,43.679,8.206,2051.9895,496.6245,355,22,21,1,1000
2,train,-474.56000000000006,1000,37.97,6.324,1531.119,313.7705,368,27,26,1,2000
3,train,-531.7400000000019,1000,46.073,4.734,1971.5825,159.242,373,29,29,1,3000
4,train,-459.7900000000003,1000,39.919,4.04,1201.444,124.2525,379,30,41,1,4000
5,train,-376.8750000000002,1000,32.16,3.685,1045.5735,106.727,361,30,37,1,5000
6,train,-386.43,1000,33.942,3.134,1041.993,82.184,388,33,42,1,6000
7,train,-359.6200000000004,1000,31.084,3.252,947.927,85.435,380,31,42,1,7000
8,train,-330.1050000000007,1000,27.288,3.815,689.736,116.765,390,30,46,1,8000
9,train,-388.8500000000005,1000,33.737,3.432,958.282,93.4705,368,26,55,1,9000
10,train,-415.8,1000,36.003,3.718,986.294,100.851,379,30,58,1,10000
11,train,-339.57000000000005,1000,28.794,3.442,772.6745,87.076,386,30,47,1,11000
12,train,-355.53499999999946,1000,30.185,3.579,813.9295,109.1215,397,28,52,1,12000
13,train,-356.0400000000003,1000,30.318,3.524,859.6675,91.683,391,30,55,1,13000
14,train,-421.2049999999999,1000,36.428,3.795,1075.9815,99.076,387,33,61,1,14000
15,train,-334.2350000000006,1000,28.076,3.565,724.4655,101.7805,382,29,48,1,15000
16,train,-351.4250000000007,1000,29.651,3.661,813.9015,97.4935,390,31,56,1,16000
17,train,-372.1099999999994,1000,32.138,3.382,906.5675,85.3935,394,30,56,1,17000
18,train,-346.9750000000002,1000,29.077,3.747,678.409,105.505,390,29,57,1,18000
19,train,-367.7650000000004,1000,31.789,3.325,900.9185,84.295,396,30,56,1,19000
20,train,-361.4749999999997,1000,31.094,3.369,873.671,89.8085,400,31,55,1,20000
21,train,-366.21499999999935,1000,31.355,3.511,844.4735,97.8335,382,28,57,1,21000
22,train,-345.25499999999914,1000,29.535,3.327,716.599,101.4975,382,32,52,1,22000
23,train,-340.97000000000014,1000,29.402,3.13,764.1245,79.9985,385,31,49,1,23000
24,train,-338.02500000000026,1000,29.094,3.139,710.378,90.4965,397,30,55,1,24000
25,train,-314.57999999999964,1000,27.312,2.764,665.864,73.165,375,32,51,1,25000
26,train,-330.42499999999967,1000,29.012,2.687,723.4905,72.662,392,32,50,1,26000
27,train,-340.33999999999975,1000,29.66,2.916,719.318,76.198,386,28,53,1,27000
28,train,-298.8600000000003,1000,25.536,2.9,621.6185,76.1265,388,31,50,1,28000
29,train,-335.4849999999991,1000,29.665,2.589,748.364,74.0395,380,33,49,1,29000
30,train,-314.63499999999976,1000,26.983,2.987,647.833,77.85,391,30,49,1,30000
31,train,-322.49000000000007,1000,28.739,2.34,740.1365,57.064,400,33,50,1,31000
