episode,mode,cumulative_reward,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,max_vehicle_queue,max_ped_queue,max_veh_wait,max_ped_wait,max_veh_thru_step,max_ped_thru_step,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok
0,train,-629.7,37.105,5.173,1253.0175,194.3585,73,13,3488.0,766.5,4,2,390,27,35,1
1,train,-825.4999999999995,46.79,7.152,2254.26,318.3575,90,15,5730.0,1014.0,3,2,360,28,25,1
2,train,-815.5199999999986,43.572,7.596,2051.1355,438.4585,86,14,5144.0,1325.5,5,1,356,23,21,1
3,train,-724.1700000000004,38.687,6.746,1469.5155,291.243,85,14,3531.5,927.5,5,1,365,24,26,1
4,train,-681.1299999999994,41.248,5.373,1609.463,208.1005,85,13,3912.0,600.5,5,2,363,28,26,1
5,train,-664.4599999999997,41.216,5.046,1416.041,193.2435,75,14,3585.5,603.5,5,2,382,27,30,1
6,train,-619.7399999999989,38.494,4.696,1472.531,168.8735,74,14,3706.5,540.5,5,1,387,29,29,1
7,train,-570.7299999999997,34.833,4.448,1243.9475,149.1845,68,14,3081.5,475.0,5,1,385,28,30,1
8,train,-590.6899999999989,39.129,3.988,1360.6155,125.103,92,14,5448.5,452.5,4,2,392,30,35,1
9,train,-564.3799999999994,35.758,4.136,1147.1685,141.593,65,14,2500.0,455.5,4,1,365,32,36,1
10,train,-589.1000000000004,40.725,3.637,1316.487,114.479,91,12,4201.5,396.5,4,1,340,30,35,1
11,train,-535.6000000000006,34.155,3.881,1098.868,117.5455,68,14,2409.5,415.0,4,2,375,31,35,1
12,train,-515.8099999999995,31.846,3.947,1079.616,119.007,53,13,2441.0,415.5,4,2,379,32,36,1
