episode,mean_cumulative_reward,ci_lower,ci_upper,mean_episode_length,length_ci_lower,length_ci_upper,num_seeds
0,-411.0900000000001,-411.0900000000001,-411.0900000000001,1000.0,1000.0,1000.0,1
1,-195.25500000000002,-195.25500000000002,-195.25500000000002,1000.0,1000.0,1000.0,1
2,-257.555,-257.555,-257.555,1000.0,1000.0,1000.0,1
3,-225.75000000000003,-225.75000000000003,-225.75000000000003,1000.0,1000.0,1000.0,1
4,-214.49000000000038,-214.49000000000038,-214.49000000000038,1000.0,1000.0,1000.0,1
5,-285.55499999999967,-285.55499999999967,-285.55499999999967,1000.0,1000.0,1000.0,1
6,-337.7499999999997,-337.7499999999997,-337.7499999999997,1000.0,1000.0,1000.0,1
7,-246.52500000000003,-246.52500000000003,-246.52500000000003,1000.0,1000.0,1000.0,1
8,-240.57499999999942,-240.57499999999942,-240.57499999999942,1000.0,1000.0,1000.0,1
9,-261.1599999999998,-261.1599999999998,-261.1599999999998,1000.0,1000.0,1000.0,1
10,-251.83999999999995,-251.83999999999995,-251.83999999999995,1000.0,1000.0,1000.0,1
11,-242.9200000000003,-242.9200000000003,-242.9200000000003,1000.0,1000.0,1000.0,1
12,-281.7999999999998,-281.7999999999998,-281.7999999999998,1000.0,1000.0,1000.0,1
13,-236.7100000000005,-236.7100000000005,-236.7100000000005,1000.0,1000.0,1000.0,1
14,-254.47500000000014,-254.47500000000014,-254.47500000000014,1000.0,1000.0,1000.0,1
15,-236.37499999999946,-236.37499999999946,-236.37499999999946,1000.0,1000.0,1000.0,1
16,-265.3549999999996,-265.3549999999996,-265.3549999999996,1000.0,1000.0,1000.0,1
17,-259.24000000000063,-259.24000000000063,-259.24000000000063,1000.0,1000.0,1000.0,1
18,-289.45500000000044,-289.45500000000044,-289.45500000000044,1000.0,1000.0,1000.0,1
19,-240.4749999999996,-240.4749999999996,-240.4749999999996,1000.0,1000.0,1000.0,1
20,-251.68499999999983,-251.68499999999983,-251.68499999999983,1000.0,1000.0,1000.0,1
21,-258.68499999999995,-258.68499999999995,-258.68499999999995,1000.0,1000.0,1000.0,1
22,-341.3399999999995,-341.3399999999995,-341.3399999999995,1000.0,1000.0,1000.0,1
23,-335.52999999999935,-335.52999999999935,-335.52999999999935,1000.0,1000.0,1000.0,1
24,-242.015,-242.015,-242.015,1000.0,1000.0,1000.0,1
25,-257.61500000000007,-257.61500000000007,-257.61500000000007,1000.0,1000.0,1000.0,1
26,-246.6199999999999,-246.6199999999999,-246.6199999999999,1000.0,1000.0,1000.0,1
27,-260.74000000000046,-260.74000000000046,-260.74000000000046,1000.0,1000.0,1000.0,1
28,-266.38999999999993,-266.38999999999993,-266.38999999999993,1000.0,1000.0,1000.0,1
29,-264.95499999999925,-264.95499999999925,-264.95499999999925,1000.0,1000.0,1000.0,1
