episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
0,train,-396.63999999999936,1000,32.959,4.47,1028.6495,169.042,381,32,36,1,0
1,train,-263.6549999999998,1000,21.486,3.253,359.88,63.583,398,29,87,1,1000
2,train,-326.5199999999996,1000,27.432,3.48,512.488,76.2755,376,30,87,1,2000
3,train,-226.6250000000006,1000,18.8,2.575,340.506,49.738,405,29,79,1,3000
4,train,-233.86999999999955,1000,18.863,3.016,350.1235,68.8065,398,31,75,1,4000
5,train,-281.69000000000085,1000,23.438,3.154,427.6655,69.107,396,29,81,1,5000
6,train,-279.2299999999989,1000,23.726,2.798,491.5795,58.742,395,29,71,1,6000
7,train,-243.5249999999998,1000,20.613,2.493,403.1515,49.021,397,28,71,1,7000
8,train,-290.8399999999998,1000,24.455,3.086,525.779,70.469,390,30,66,1,8000
9,train,-249.03500000000014,1000,20.849,2.703,429.6215,57.3735,394,30,69,1,9000
10,train,-263.1549999999998,1000,21.529,3.191,444.9145,77.7335,396,31,65,1,10000
11,train,-261.98499999999933,1000,22.465,2.489,481.2415,53.736,401,30,64,1,11000
12,train,-303.17999999999967,1000,26.628,2.46,556.939,58.402,402,30,73,1,12000
13,train,-239.8200000000006,1000,20.013,2.646,369.106,63.876,407,33,67,1,13000
14,train,-291.9100000000001,1000,25.228,2.642,538.7295,56.7285,403,28,66,1,14000
15,train,-245.6299999999997,1000,20.114,2.966,382.0275,65.096,405,31,68,1,15000
16,train,-277.50500000000073,1000,23.849,2.601,494.5835,59.0195,404,27,66,1,16000
17,train,-260.59500000000037,1000,22.281,2.519,448.058,56.392,393,29,64,1,17000
18,train,-220.36500000000046,1000,18.678,2.239,355.1335,47.8335,403,31,62,1,18000
19,train,-293.86000000000047,1000,25.906,2.32,594.09,46.494,393,33,64,1,19000
20,train,-237.02500000000012,1000,20.68,2.015,414.0845,37.6435,392,30,60,1,20000
21,train,-302.9700000000005,1000,27.597,1.8,621.347,32.3275,377,30,60,1,21000
22,train,-241.1749999999999,1000,20.366,2.501,387.8345,55.639,402,31,60,1,22000
23,train,-377.3500000000001,1000,33.814,2.614,890.225,66.125,393,30,66,1,23000
24,train,-272.14500000000027,1000,23.73,2.323,470.561,50.7755,402,29,66,1,24000
25,train,-342.4799999999998,1000,29.844,2.936,598.0275,58.813,395,28,77,1,25000
26,train,-278.6999999999999,1000,22.608,3.508,431.615,82.842,390,28,78,1,26000
27,train,-222.49499999999964,1000,17.862,2.925,327.9175,63.262,399,32,72,1,27000
28,train,-213.30499999999932,1000,17.405,2.617,329.1305,65.293,409,32,66,1,28000
29,train,-317.81500000000034,1000,26.833,3.299,498.152,79.5205,392,29,78,1,29000
30,train,-246.93999999999997,1000,19.699,3.33,350.5255,82.559,403,31,74,1,30000
31,train,-341.1299999999998,1000,29.43,3.122,580.4065,65.0105,397,30,84,1,31000
32,train,-306.1149999999994,1000,25.777,3.223,509.7175,71.931,393,27,77,1,32000
33,train,-233.34499999999986,1000,19.349,2.657,364.468,67.286,402,29,70,1,33000
34,train,-210.7050000000004,1000,16.698,2.915,309.566,66.2195,400,30,68,1,34000
35,train,-262.4400000000001,1000,22.02,2.816,428.8275,58.1315,401,30,70,1,35000
36,train,-227.8949999999998,1000,18.561,2.819,320.3185,59.134,404,31,70,1,36000
37,train,-232.2699999999996,1000,18.457,3.18,320.3755,74.297,402,29,71,1,37000
38,train,-251.61500000000018,1000,21.029,2.755,414.902,60.275,406,31,70,1,38000
39,train,-269.0100000000003,1000,21.543,3.572,426.796,88.7855,402,29,75,1,39000
40,train,-204.3249999999999,1000,16.279,2.769,274.2395,58.698,407,33,75,1,40000
41,train,-319.1250000000001,1000,27.069,3.229,483.3885,63.805,395,30,80,1,41000
42,train,-341.21000000000015,1000,29.93,2.794,611.7445,65.1775,383,29,70,1,42000
43,train,-255.98499999999984,1000,21.376,2.815,405.8905,59.261,387,29,70,1,43000
44,train,-272.97000000000014,1000,21.555,3.828,371.8535,94.4215,385,29,75,1,44000
45,train,-309.9150000000004,1000,27.069,2.615,529.2215,51.2245,386,32,72,1,45000
46,train,-235.19500000000028,1000,19.111,2.939,364.2615,65.137,410,29,72,1,46000
47,train,-243.9200000000004,1000,19.976,2.944,363.9395,64.462,404,30,73,1,47000
48,train,-243.70999999999952,1000,19.895,2.984,373.035,65.5135,403,29,76,1,48000
49,train,-283.6850000000002,1000,23.894,2.983,481.651,65.955,405,31,69,1,49000
50,train,-261.3550000000003,1000,21.817,2.879,424.6515,61.734,405,29,76,1,50000
51,train,-274.93999999999966,1000,21.917,3.718,420.975,92.703,402,29,74,1,51000
52,train,-212.12499999999983,1000,17.278,2.623,292.408,58.7785,405,28,74,1,52000
53,train,-292.14500000000004,1000,24.668,3.031,493.866,67.872,404,31,75,1,53000
54,train,-287.73500000000047,1000,24.542,2.821,492.8505,63.9065,403,29,73,1,54000
55,train,-309.775000000001,1000,25.783,3.463,526.7455,84.7285,410,29,78,1,55000
56,train,-280.8400000000004,1000,23.623,2.974,460.91,69.87,398,29,71,1,56000
57,train,-303.3200000000005,1000,25.886,2.964,500.288,74.432,397,29,75,1,57000
58,train,-254.52999999999972,1000,21.346,2.738,356.639,62.92,394,31,75,1,58000
59,train,-213.29499999999965,1000,16.984,2.897,293.058,64.645,404,32,77,1,59000
60,train,-222.7599999999998,1000,18.31,2.644,320.776,52.98,402,32,73,1,60000
61,train,-299.92499999999967,1000,24.252,3.827,531.87,95.3885,407,28,73,1,61000
62,train,-285.82999999999987,1000,24.248,2.89,509.8255,67.1485,404,29,73,1,62000
63,train,-279.275,1000,22.694,3.489,411.488,89.9325,395,27,76,1,63000
64,train,-228.13500000000028,1000,18.408,2.937,317.2,72.845,403,31,74,1,64000
65,train,-229.21,1000,18.244,3.118,318.799,73.308,402,32,74,1,65000
66,train,-297.07000000000056,1000,24.277,3.62,453.8785,87.5295,396,30,75,1,66000
67,train,-303.37500000000085,1000,25.971,2.911,548.9185,67.8215,397,31,67,1,67000
68,train,-248.29500000000036,1000,19.89,3.293,328.291,76.623,400,30,78,1,68000
69,train,-281.54500000000013,1000,23.305,3.233,424.963,71.425,399,30,74,1,69000
70,train,-398.9450000000001,1000,35.501,2.929,728.179,68.789,367,31,76,1,70000
71,train,-238.06500000000028,1000,19.332,2.983,348.828,65.2775,392,31,72,1,71000
72,train,-224.3200000000004,1000,16.948,3.656,268.8715,87.996,407,31,78,1,72000
73,train,-239.96999999999989,1000,19.026,3.314,314.4005,76.633,399,30,77,1,73000
74,train,-225.40000000000012,1000,18.481,2.706,319.804,55.146,397,31,76,1,74000
75,train,-245.48000000000025,1000,19.895,3.102,363.607,63.7395,398,31,72,1,75000
76,train,-210.79999999999976,1000,16.832,2.832,307.151,58.893,406,29,76,1,76000
77,train,-239.07500000000027,1000,19.667,2.827,347.667,58.647,391,30,77,1,77000
78,train,-222.41500000000028,1000,16.882,3.573,267.946,81.1525,406,30,80,1,78000
79,train,-215.77999999999975,1000,16.373,3.47,258.7695,84.74,409,31,78,1,79000
80,train,-268.06,1000,22.309,2.998,393.4855,68.7005,408,29,74,1,80000
81,train,-272.18500000000006,1000,22.69,3.019,378.5835,63.3675,400,29,76,1,81000
82,train,-265.3000000000002,1000,22.204,2.884,417.175,71.134,404,29,74,1,82000
83,train,-244.66999999999948,1000,19.403,3.376,328.987,72.972,403,29,76,1,83000
84,train,-220.81999999999977,1000,17.552,3.02,286.379,61.5345,399,34,76,1,84000
85,train,-332.2550000000001,1000,28.229,3.331,493.904,75.8135,379,29,75,1,85000
86,train,-209.75499999999923,1000,16.552,2.949,274.203,61.3945,397,28,74,1,86000
87,train,-319.06500000000057,1000,26.793,3.409,484.685,78.0175,394,31,75,1,87000
88,train,-216.69000000000034,1000,16.797,3.248,272.1035,80.0495,403,32,73,1,88000
89,train,-252.16999999999936,1000,19.877,3.56,349.673,87.198,400,30,77,1,89000
90,train,-234.0850000000004,1000,18.484,3.283,304.5265,86.2045,407,29,77,1,90000
91,train,-246.26000000000013,1000,20.018,3.072,350.415,70.252,408,31,70,1,91000
92,train,-248.95500000000015,1000,19.632,3.509,323.5455,83.361,410,30,78,1,92000
93,train,-312.2700000000002,1000,25.629,3.732,456.0765,89.054,403,30,80,1,93000
94,train,-268.81999999999977,1000,22.625,2.838,407.2845,63.242,388,34,66,1,94000
95,train,-238.01499999999947,1000,19.3,3.001,350.7,93.594,410,31,68,1,95000
96,train,-276.92499999999956,1000,23.434,2.839,405.6755,60.5865,404,32,72,1,96000
97,train,-272.46000000000055,1000,22.626,3.08,385.023,79.5025,402,32,74,1,97000
98,train,-242.7550000000004,1000,19.513,3.175,318.093,78.224,403,32,77,1,98000
99,train,-219.91499999999976,1000,17.523,2.979,309.7765,67.7655,401,32,70,1,99000
100,train,-298.670000000001,1000,24.797,3.38,461.31,105.053,405,28,71,1,100000
101,train,-345.9600000000002,1000,29.79,3.204,530.7025,76.209,376,29,70,1,101000
102,train,-293.9449999999998,1000,25.376,2.679,456.4185,60.126,401,31,76,1,102000
103,train,-222.21499999999946,1000,17.81,2.941,300.398,61.508,395,31,72,1,103000
104,train,-218.84999999999937,1000,17.613,2.848,313.3535,80.1075,401,30,66,1,104000
105,train,-266.21499999999963,1000,22.552,2.713,405.7505,62.759,404,30,69,1,105000
106,train,-226.25499999999997,1000,18.661,2.643,351.7235,63.4105,401,32,71,1,106000
